Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences,
CC34:6,R1056CS,S1056 to S1039,,R1056CS,18,TRUE
CC34:7,R1056DS,S1056 to S1059,,R1056DS,38,TRUE
CC34:8,R1056ES,S1056 to S1057,,R1056ES,62,TRUE
CC35:1,R1057AM,S1057 to S1065,,R1057AM,314,TRUE
CC35:2,R1057AC,S1057 to S1065,,R1057AC,2,TRUE
CC35:3,R1057BM,S1057 to S1067,,R1057BM,126,TRUE
CC35:4,R1057BC,S1057 to S1067,,R1057BC,0,TRUE
CC35:5,R1058AM,S1058 to S1040,,R1058AM,1686,TRUE
CC35:6,R1059AM,S1059 to S1065,,R1059AM,48,TRUE
CC35:7,R1059AC,S1059 to S1065,,R1059AC,0,TRUE
CC35:8,R1059BM,S1059 to S1067,,R1059BM,40,TRUE
CC36:1,R1059BC,S1059 to S1067,,R1059BC,0,TRUE
CC36:2,R1063AM,S1063 to S1075,,R1063AM,28,TRUE
CC36:3,R1063BM,S1063 to S1085,,R1063BM,8,TRUE
CC36:4,R1063CM,S1063 to S1069,,R1063CM,76,TRUE
CC36:5,R1063CC,S1063 to S1069,,R1063CC,0,TRUE
CC36:6,Unused,,,,0,FALSE
CC36:7,Unused,,,,0,FALSE
CC36:8,S1027,,,S1027,4392,TRUE
CC37:1,S1033,,,S1033,24,TRUE
CC37:2,S1035,,,S1035,26,TRUE
CC37:3,S1039,,,S1039,196,TRUE
CC37:4,S1040,,,S1040,4530,TRUE
CC37:5,S1046,,,S1046,6,TRUE
CC37:6,S1048,,,S1048,86,TRUE
CC37:7,S1054,,,S1054,518,TRUE
CC37:8,S1056,,,S1056,126,TRUE
CC38:1,S1057,,,S1057,442,TRUE
CC38:2,S1058,,,S1058,1676,TRUE
CC38:3,S1059,,,S1059,88,TRUE
CC38:4,S1063,,,S1063,112,TRUE
CC38:5,S1067BR,,,S1067BR,3250,TRUE
CC38:6,Unused,,,,0,FALSE
CC38:7,Unused,,,,0,FALSE
CC38:8,Unused,,,,0,FALSE
CC39:1,P3009N,,,P3009N,173,TRUE
CC39:2,P3009R,,,P3009R,128,TRUE
CC39:3,P3010N,,,P3010N,65,TRUE
CC39:4,P3010R,,,P3010R,64,TRUE
CC39:5,P3011N,,,P3011N,625,TRUE
CC39:6,P3011R,,,P3011R,612,TRUE
CC39:7,P3012N,,,P3012N,439,TRUE
CC39:8,P3012R,,,P3012R,428,TRUE
CC3A:1,P3014N,,,P3014N,118,TRUE
CC3A:2,P3014R,,,P3014R,114,TRUE
CC3A:3,P3015N,,,P3015N,1360,TRUE
CC3A:4,P3015R,,,P3015R,1344,TRUE
CC3A:5,P3016N,,,P3016N,20,TRUE
CC3A:6,P3016R,,,P3016R,18,TRUE
CC3A:7,P3017N,,,P3017N,956,TRUE
CC3A:8,P3017R,,,P3017R,1000,TRUE
CC3B:1,P3018N,,,P3018N,122,TRUE
CC3B:2,P3018R,,,P3018R,123,TRUE
CC3B:3,P3019N,,,P3019N,267,TRUE
CC3B:4,P3019R,,,P3019R,260,TRUE
CC3B:5,P3023N,,,P3023N,1643,TRUE
CC3B:6,P3023R,,,P3023R,1644,TRUE
CC3B:7,Unused,,,,0,FALSE
CC3B:8,Unused,,,,0,FALSE
CC3C:1,T5117,,,T5117,3400,TRUE
CC3C:2,Unused,,,,0,FALSE
CC3C:3,T5127,,,T5127,4656,TRUE
CC3C:4,T5128,,,T5128,4656,TRUE
CC3C:5,T5197,,,T5197,92,TRUE
CC3C:6,Unused,,,,0,FALSE
CC3C:7,R1072HS,S1072 to S1047,,R1072HS,0,TRUE
CC3C:8,R1074FS,S1074 to S1047,,R1074FS,0,TRUE
CC3D:1,R1047,S1047 to S1065,Interlocking 5 (Colchester N),R1047,0,TRUE
CC3D:2,R1051,S1051 to S1065,,R1051,96,TRUE
CC3D:3,R1055,S1055 to S1065,,R1055,6,TRUE
CC3D:4,R1062A,S1062 to S1054,,R1062A,2,TRUE
CC3D:5,R1062B,S1062 to S1036,,R1062B,0,TRUE
CC3D:6,R1062C,S1062 to S1047,,R1062C,2,TRUE
CC3D:7,R1065A,S1065 to S1083,,R1065A,1344,TRUE
CC3D:8,R1065B,S1065 to S1075,,R1065B,358,TRUE
CC3E:1,R1065C,S1065 to S1085,,R1065C,8,TRUE
CC3E:2,R1067A,S1067 to S1083,,R1067A,354,TRUE
CC3E:3,R1067B,S1067 to S1075,,R1067B,2958,TRUE
CC3E:4,R1067C,S1067 to S1083,,R1067C,26,TRUE
CC3E:5,R1069A,S1069 to S1075,,R1069A,32,TRUE
CC3E:6,R1069B,S1069 to S1083,,R1069B,190,TRUE
CC3E:7,R1070A,S1070 to S1058,,R1070A,0,TRUE
